Species,H2,CO2,CO,H2O,MEOH,FA,N2,O2,OME1,OME2,OME3,OME4,OME5,OME6,
ad12,0.0,0.0,0.0,110.55222156139904,0.041644228174094855,0.45467440232661477,0.0,0.0,0.10693210102453556,0.07127690605701739,0.0004760568405316946,5.245030791899577e-09,0.00010596937097196438,0.013999793523840372,
m51,0.0,0.0,0.0,111.67139259088704,8.334585081067491,90.93724844085145,0.0,0.0,21.408128105582087,14.265081298525226,0.09524430001606116,1.04901803901556e-06,0.021187023939670303,2.7981170303270364,
dc31,0.0,0.0,0.0,0.018509310987789147,1.2955890158761442e-06,3.6903637883223123e-13,0.0,0.0,7.76207243756839e-08,0.01428899465360532,9.432408233248706,6.3529167664021715,4.214851555235888,0.028245241440219677,
m31,0.0,0.0,0.0,111.67411700005044,8.340297827886117,90.93980501555049,0.0,0.0,21.429699165863266,14.274705658951705,0.09527685084096134,6.823051052013693e-07,4.682238765871206e-12,1.4403166999477887e-16,
dc32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.461271384504073e-12,3.6672222404567775e-07,0.02118015856902458,2.796278902581748,
dc22,0.0,0.0,0.0,0.018509909094457575,1.296472497108119e-06,3.6904896349818545e-13,0.0,0.0,7.769837975429795e-08,0.014298558929629184,9.435598822017932,6.3529627723082305,4.234659761199986,2.822674294411723,
r31,0.0,0.0,0.0,21.97168632819886,8.35164395365715,14.973925735197799,0.0,0.0,21.472438726818716,14.308055522153564,9.534104356535538,6.35300541620929,4.233295547990438,2.820837016515024,
m41,0.0,0.0,0.0,1.5558105236801896,49.19049639233233,90.47802848702571,0.0,0.0,21.257748823925837,14.174373646830093,0.09470213214768526,1.043746285982779e-06,0.021094695247378926,2.7877933132237738,
ad11,0.0,0.0,0.0,1.1166891066807985,8.287201406644877,90.48020606299634,0.0,0.0,21.279488103882574,14.184104305346462,0.09473531126580723,1.043761127588016e-06,0.021087904823420912,2.7859589112442342,
s22,0.0,0.0,0.0,0.43915493526912225,40.910110390133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
a12,0.0,0.0,0.0,89.72466548461736,0.0,75.96915220239504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
dc21,0.0,0.0,0.0,21.952429348071732,8.345985199814812,14.973412382809501,0.0,0.0,21.45113843244697,14.284260370699542,0.09530907901028218,6.823100068626809e-07,4.680722297132129e-12,1.4393734014839865e-16,
a11,0.0,0.0,0.0,0.0,0.0,0.0,258.79999999999933,26.715423898802566,0.0,0.0,0.0,0.0,0.0,0.0,
r21,0.0,0.0,0.0,76.78708907138879,0.0,75.97155612770713,258.7999999999995,26.71422193614652,0.0,0.0,0.0,0.0,0.0,0.0,
i3,0.0,0.0,0.0,12.940000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
m21,0.0,0.0,0.0,0.8155529258157157,75.97391887418095,0.0,258.79999999999967,64.70000000000009,0.0,0.0,0.0,0.0,0.0,0.0,
s21,0.0,0.0,0.0,0.8155734512140842,75.9759192959613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
i2,0.0,0.0,0.0,0.0,0.0,0.0,258.79999999999984,64.70000000000005,0.0,0.0,0.0,0.0,0.0,0.0,
dc11,0.0,0.0,0.0,1.254761069085698,116.88812013620625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
dc12,0.0,0.0,0.0,124.22134583948412,1.1806880821838894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
f12,0.0,0.0,0.0,125.4794750913506,118.06985145997479,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
r11,1205.3653678777848,46.07544246323301,403.78944825473593,125.48569161993291,118.12920788334284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
s12,24.07861360602801,0.8584805676642248,8.078175843112064,5.614388349592166e-05,0.001181278721544675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
f11,1204.4667584204478,42.87710684042925,403.6332190183725,0.00280719191288321,0.05906445795896688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
m11,1567.5233134169528,171.5118178551738,396.10306940740475,0.002751052679922706,0.057881622170869465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
i1,388.2,129.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
s11,1179.8520666953716,42.06554781554698,395.8306163124908,0.002751050291300159,0.05788265735568901,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
